他做错了事，难免被人背后说闲话。	游戏还在前作的道具管理系统上做了改进，每个角色都有独立的道具列表，且每人最多可携带8个道具，这将使玩家更加注重角色之间的道具保管。	0
忙的没个空儿。	于2005年8月16日对外开放。	0
多么善良的母亲。	父亲金英是毕业于空军官校第8期，航空班教官，母亲为张丽锦。	0
墙上挂着齐白石的画。	贵州龙与趾龙的下颞孔长而狭窄，延伸至头骨的后段，其他肿肋龙科没有这种特征。	0
他看了一场电影。	休斯顿社区报的加里·布朗也认为电影-{永无止境}-的动作场面和巨大的爆炸声响看来已经占据了核心地位，而邦德这个角色几乎要退居二线了。	0
轮番的轰炸后，这个美丽的小镇被夷为平地。	玫瑰高地(Rosenhöhe)是一座拥有美丽远景的丘陵，人们仿效英式花园将19世纪初原属于领主的葡萄种植园改造成为自然风景花园。	0
他拿了我一本书。	浙江省水系的一个显著特征是，主要河流大部分源短流急，流域面积狭小，河流和湖泊占总面积的6。	0
小马悲痛地望着他。	小马伤心地望着他。	1
晒太阳的人们。	从源头至三舍驿河长18公里。	0
护士态度很温和。	中保集团可以指：	0
门响了，别是他回来了。	门响了，可能是他回来了。	1
小心别碰着油漆。	这提供了一种相对简单的辨认方法。	0
我给他打扫了一个地方睡觉。	丹麦是一个完全现代化的市场经济体，拥有高科技农业、现代化的小规模企业化工业、宽松的政府福利制度、舒适的生活水准、稳定的货币，同时对国际贸易高度倚赖。	0
什么她都爱买。	警察逮捕了一位嫌疑犯。	0
把窗户开一下吧！	打开一下窗户吧！	1
你穿太少了，当心着凉。	你穿不少，不用当心着凉。	0
他吧，从小就爱看小说。	这样的换算法固然精确，却也较为烦琐，多半借助电脑辅助计算，一般是以万年历搭配简易公式换算。	0
这是他们吃饭的时候。	朔尔兄妹（又译作舒和兄妹），指汉斯·朔尔（德文：Hans Scholl）和索菲·朔尔（德文：Sophie Scholl），他们是反纳粹主义运动组织白玫瑰的成员。	0
村民自发组织起巡逻队，以防不测。	村民自发组织起巡逻队，以免不测。	1
这道题就算有点难度，也难不到哪儿去。	而对于律法书的诠释，撒都该人认为应该对根据字母的意思去理解。	0
他尽管身体不好，可是仍然坚持工作。	虽然他身体不好，但是仍然坚持工作。	1
我哪里会说法语呀！	金久慈，，台裔美籍女子网球运动员，出生于加利福尼亚州蒙特利公园市。	0
我们选她做生活委员。	她任性地拒绝接受她过去在生活与感情上的真相，让她成为舞台上最引人注目的女主角：一个牺牲所有的女人，她的过去、她的青春、她的外貌、她的财产与她的家人、她自身的快乐，只为了换得感情（并非故意用作为嘲讽，女主角丽波芙Lyubov在俄文的意思就是＂爱Love＂）。	0
宁可血战到底，也不放弃每一寸阵地。	但新台湾周刊在（2008年）12月上旬出版最后一期以后，由于『弹尽援绝』，在民进党下台半年后宣布『暂时停刊』，让台湾偏向绿营的平面媒体只剩下最后的一家——自由时报。	0
你不会在里头给他来个扫堂腿？	西布朗足球会，英格兰西米德兰兹区域西米德兰兹郡桑德韦尔都市自治市-{西布}-罗-{米奇}-的足球会，于1878年创立，是足球联盟创始成员，主场为山楂球场。	0
咱俩谁跟谁呀。	我们不分彼此。	1
他一下班就走了。	·2008年12月16日：	0
她马上傲慢地环视了一下会场。	他虽然伤疾缠身，但每次X JAPAN的演出都不考虑是否要保留体力、用尽全力打鼓，对此他曾多次表示跟许多问题相比，我的身体还不是最大的问题，只要忍耐一下就会过去。	0
这个国家的政府，一方面谴责美国对伊拉克的军事占领，另一方面又主动向美国控制下的伊拉克临时管理委员会示好。	这个国家的政府，一方面谴责美国对伊拉克的军事占领，另一方面又向美国控制下的伊拉克临时管理委员会主动示好。	1
宁可血战到底，也不放弃每一寸阵地。	宁血战到底，也不放弃每一寸阵地。	1
你去办公室打电话叫快餐店送十二份盒饭来。	他的其他著名学生还包括澳门篮球总会理事长胡松辉、澳门大学校友会理事长葛万金、澳门大学校友及发展办公室主任黄炳铨教授、教育学院副教授老志钧、土木及环境工程系助理教授陆万海、澳门理工学院副教授苏沛权、澳门特别行政区政府教育暨青年局副局长老柏生、澳门佛教总会常务副会长关伟霖、曾任澳门马礼逊纪念学校校长的著名女牧师萧卓芬等等。	0
事情办成了。	在一次访谈，Vernon说：我对于任何事情都感到自卑，并且持续著去了解所有事物。	0
约翰给玛丽拿了一本书。	阴阳历是阴历，但为了让月份和季节可以对应，会以依一定规则加一个月的方式来调整，像希伯来历就有19年的周期，而农历的闰月也有类似的规则。	0
他偷了小王一辆自行车。	子产答道：为了使他们高兴，立身没有道义而希图高兴，执政的人违反礼仪，这是用来取得百姓欢心。	0
他说起话来没个完。	两艘驱逐舰相继沉没，但德国鱼雷艇停下救起幸存者。	0
他有的是钱。	斐济包含322个岛屿，主要为珊瑚礁环绕的火山岛，其中1/3有人居住。	0
他们昨天去了北京。	罗素不仅讨论该书中主要人物的生活、历史背景、社会环境、和他们的哲学系统，他随后还饶有兴致的解释他们错在哪里以及为何出错。	0
那幢楼高不了。	那幢楼不高。	1
酒没有喝完。	原名：，1933年7月20日出生于美国罗德岛），为知名美国小说家，被誉为是海明威与福克纳的唯一后继者。	0
唉！天知道！	现在的城址除了城骸以外，还有供奉柳泽家第一代郡山藩主柳泽吉里的父亲柳泽吉保的柳泽神社（本丸）、保管柳泽家时代史料的柳泽文库（毘沙门曲轮）、市民会馆（常盘曲轮）等。	0
他拿了王教授一本书。	罢工坚持两个多月，中华苏维埃共和国临时中央政府拨款万余元支援上海工人抗日斗争。	0
小王没看完书。	刘锦棠率领西征军主力自肃州入新，至哈密行程约1700-{里}-，很顺利地进入哈密。	0
坐在台下的母亲发现，女儿小兰的眼中闪动着泪光。	乌龙帮发现毒品是假货，在墓地销售处问出了耿浩住址，来到耿浩家中寻人不见。	0
在北京我们游览了不少地方。	因应教会的发展，我们在1993。	0
老市长拿起手笔在铺开的宣纸上题写了几个大字。	生命存在的直接证据在未来一定能够探测得到。	0
大家都称他为小诸葛。	赛季最后弗莱堡共取得廿胜，以 3 分及 2 分之差紧随-{zh-hans:多特蒙德；	0
缺不了你的钱花。	汪东兴在会上被批评盲目支持两个凡是，鹦鹉学舌式跟着华国锋讲话。	0
他北京话说的很好？	当时，北京的几个区均被封锁，上千军警赶到现场，被田明健的短点射压制，与之发生激烈的枪战。	0
他花光了钱。	钱被他花光了。	1
我们不欢迎撒谎的人。	他说：这座桥将会告诉世界人民，人类的能力和技术可以被更好地投入到建设而不是毁灭我们的家园和财富上去。	0
我之所以会吃惊，是因为没想到会在这种地方遇见他。	以北的一段为斜坡，在大三巴牌坊天主教艺术博物馆后面，被高园街、同安街、新胜街和花王堂高园包围，从高园街向新胜街斜落；	0
这道题做了我三个小时。	当前的理论。	0
我不去北京。	此时汤和兑现承诺让拿公改字，拿公就将不留一人改为不杀一人，遂拯救福州全城百姓。	0
他尽管身体不好，可是仍然坚持工作。	此外，在判断Slashdot使用者作业系统结果倾斜方面，一个事实是很多Slashdot使用者在日常工作中接触此网站，而在只有在家里他们才使用Linux。	0
他没有听懂。	他险些没听懂。	0
卫星定位信号经常被干扰。	（杨公是个恶人，经常以蒿草扎我们形状然后射杀。	0
我没有说清楚，难免被人误会。	绿色为龟之颜色，而古人误以为雌龟要与蛇交配才可以繁殖，甚至以为龟没有雄性；	0
也弄个事儿管管。	民族复兴国家富强，使命在肩苦砺成钢。	0
方法始终在变。	闵斯基如此评价潘洛斯：在科学探索的道路上，仅靠攻击现有的科学知识将无法获取新的原理。	0
我们无论评价什么样的历史人物，都必须全面的看待，不但要看到他们的历史功绩和贡献，而且要看到他们的过失和负面影响，否则，就不可能做出全面、客观的评价。	比较近期代表池田氏的人物包括备前国冈山藩及因幡、伯耆的鸟取藩。	0
即使是海中的庞然大物——鲸，遇见体长达十余米的大乌贼也难对付。	外部链接。	0
